u(k),p(k),r(k),y(k),x1(k),x2(k),xef1(k),xef2(k),xef3(k)
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.5,0,7.853982,0,0,3.125,0,3.125,0
1.5,0,7.853982,0,0.3125,5,0.3125,5,0
1.5,0,7.853982,0.3125,0.8125,5.371776,0.8125,5.371776,0
1.5,0,7.853982,0.8125,1.349678,4.569344,1.349678,4.569344,0
1.5,0,7.853982,1.349678,1.806612,3.476257,1.806612,3.476257,0
1.5,0,7.853982,1.806612,2.154238,2.82856,2.154238,2.82856,0
1.5,0,7.853982,2.154238,2.437094,2.777435,2.437094,2.777435,0
1.5,0,7.853982,2.437094,2.714837,3.204713,2.714837,3.204713,0
1.5,0,7.853982,2.714837,3.035309,4.033725,3.035309,4.033725,0
1.5,0,7.853982,3.035309,3.438681,5.285328,3.438681,5.285328,0
1.5,0,7.853982,3.438681,3.967214,7.013403,3.967214,7.013403,0
1.5,0,7.853982,3.967214,4.668554,9.133717,4.668554,9.133717,0
1.5,0,7.853982,4.668554,5.581926,11.052876,5.581926,11.052876,0
0.414752,0,7.853982,5.581926,6.687214,9.076485,6.687214,9.076485,0
-0.653322,0,7.853982,6.687214,7.594862,3.121647,7.594862,3.121647,0
0.168227,0,7.853982,7.594862,7.907027,-0.144748,7.907027,-0.144748,0
1.013175,0,7.853982,7.907027,7.892552,-0.422621,7.892552,-0.422621,0
1.264828,0,7.853982,7.892552,7.85029,-0.066692,7.85029,-0.066692,0
1.22765,0,7.853982,7.85029,7.843621,0.067607,7.843621,0.067607,0
1.175849,0,7.853982,7.843621,7.850381,0.04038,7.850381,0.04038,0
1.16594,0,7.853982,7.850381,7.854419,0.003285,7.854419,0.003285,0
1.172256,0,7.853982,7.854419,7.854748,-0.005828,7.854748,-0.005828,0
1.176433,0,7.853982,7.854748,7.854165,-0.002593,7.854165,-0.002593,0
1.176818,0,7.853982,7.854165,7.853906,0.000149,7.853906,0.000149,0
1.17621,0,7.853982,7.853906,7.853921,0.000527,7.853921,0.000527,0
1.175926,0,7.853982,7.853921,7.853973,0.000163,7.853973,0.000163,0
1.175935,0,7.853982,7.853973,7.85399,-3.7e-05,7.85399,-3.7e-05,0
1.17599,0,7.853982,7.85399,7.853986,-4.2e-05,7.853986,-4.2e-05,0
1.176008,0,7.853982,7.853986,7.853982,-8e-06,7.853982,-8e-06,0
1.176004,0,7.853982,7.853982,7.853981,3e-06,7.853981,3e-06,0
1.176,0,7.853982,7.853981,7.853981,2e-06,7.853981,2e-06,0
1.176,0,7.853982,7.853981,7.853981,1e-06,7.853981,1e-06,0
1.176,0,7.853982,7.853981,7.853982,1e-06,7.853982,1e-06,0
1.175999,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,1e-06,7.853982,1e-06,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,1e-06,7.853982,1e-06,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,1e-06,7.853982,1e-06,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,-0,7.853982,-0,0
1.176,0,7.853982,7.853982,7.853982,1e-06,7.853982,1e-06,0
1.176,0.07,7.853982,7.853982,7.853982,0.145833,7.853982,-0,0
1.176,0.07,7.853982,7.853982,7.868565,0.233333,7.853982,-0,0
1.176,0.07,7.853982,7.868565,7.891898,0.286094,7.861141,0.00038,0.006828
1.135204,0.07,7.853982,7.891898,7.920508,0.23426,7.872927,-0.083873,0.018031
1.107762,0.07,7.853982,7.920508,7.943934,0.149646,7.879048,-0.190602,0.031866
1.101556,0.07,7.853982,7.943934,7.958898,0.090435,7.876707,-0.266762,0.046824
1.102968,0.07,7.853982,7.958898,7.967942,0.061416,7.869226,-0.309452,0.061575
1.103563,0.07,7.853982,7.967942,7.974083,0.047664,7.859859,-0.334271,0.075665
1.102337,0.07,7.853982,7.974083,7.97885,0.038616,7.849598,-0.352361,0.089532
1.100677,0.07,7.853982,7.97885,7.982711,0.031156,7.838027,-0.367332,0.103999
1.099279,0.07,7.853982,7.982711,7.985827,0.024963,7.824471,-0.379703,0.119856
1.098062,0.07,7.853982,7.985827,7.988323,0.019704,7.808376,-0.389657,0.137778
1.096622,0.07,7.853982,7.988323,7.990294,0.01436,7.789245,-0.397725,0.158387
1.094645,0.07,7.853982,7.990294,7.99173,0.007686,7.766517,-0.404248,0.182311
1.091821,0.07,7.853982,7.99173,7.992498,-0.00172,7.739588,-0.409181,0.210148
1.08777,0.07,7.853982,7.992498,7.992326,-0.015545,7.707938,-0.412085,0.242331
1.082017,0.07,7.853982,7.992326,7.990772,-0.035884,7.671359,-0.412247,0.278889
1.074177,0.07,7.853982,7.990772,7.987183,-0.064944,7.630238,-0.408734,0.319087
1.064348,0.07,7.853982,7.987183,7.980689,-0.104039,7.585848,-0.400324,0.361051
1.053629,0.07,7.853982,7.980689,7.970285,-0.151889,7.540404,-0.385295,0.401653
1.044501,0.07,7.853982,7.970285,7.955096,-0.202704,7.496662,-0.360718,0.437046
1.040174,0.07,7.853982,7.955096,7.934826,-0.246247,7.457143,-0.322109,0.463886
1.042573,0.07,7.853982,7.934826,7.910201,-0.271886,7.423593,-0.265264,0.480544
1.05058,0.07,7.853982,7.910201,7.883012,-0.274719,7.397008,-0.190362,0.487372
1.060919,0.07,7.853982,7.883012,7.855541,-0.257717,7.377859,-0.10392,0.485963
1.070947,0.07,7.853982,7.855541,7.829769,-0.227654,7.366095,-0.015465,0.478211
1.080005,0.07,7.853982,7.829769,7.807003,-0.190031,7.361158,0.067344,0.465798
1.088488,0.07,7.853982,7.807003,7.788,-0.147799,7.362231,0.140265,0.450076
1.096654,0.07,7.853982,7.788,7.77322,-0.102819,7.368504,0.201109,0.432128
1.104418,0.07,7.853982,7.77322,7.762939,-0.057003,7.379242,0.248465,0.41285
1.11159,0.07,7.853982,7.762939,7.757238,-0.012409,7.393714,0.281498,0.39304
1.11796,0.07,7.853982,7.757238,7.755997,0.028926,7.411132,0.300067,0.373437
1.123265,0.07,7.853982,7.755997,7.75889,0.065076,7.430644,0.304663,0.354738
1.127247,0.07,7.853982,7.75889,7.765398,0.094378,7.451345,0.296325,0.337562
1.129763,0.07,7.853982,7.765398,7.774835,0.11574,7.472313,0.276643,0.322415
1.130841,0.07,7.853982,7.774835,7.786409,0.128865,7.492662,0.247734,0.309655
1.130651,0.07,7.853982,7.786409,7.799296,0.134266,7.511604,0.212093,0.299488
1.129435,0.07,7.853982,7.799296,7.812722,0.133045,7.528504,0.17232,0.291971
1.127454,0.07,7.853982,7.812722,7.826027,0.126608,7.542914,0.130843,0.287043
1.124952,0.07,7.853982,7.826027,7.838688,0.116405,7.554573,0.089736,0.28455
1.122132,0.07,7.853982,7.838688,7.850328,0.103737,7.56339,0.050615,0.284274
1.119153,0.07,7.853982,7.850328,7.860702,0.08966,7.569409,0.014633,0.285962
1.116134,0.07,7.853982,7.860702,7.869668,0.074963,7.57278,-0.017468,0.28934
1.11316,0.07,7.853982,7.869668,7.877164,0.060195,7.573718,-0.045269,0.294131
1.110287,0.07,7.853982,7.877164,7.883184,0.045706,7.572483,-0.068603,0.300061
1.107565,0.07,7.853982,7.883184,7.887754,0.031729,7.569356,-0.087447,0.306861
1.105027,0.07,7.853982,7.887754,7.890927,0.018408,7.564627,-0.10189,0.314272
1.102702,0.07,7.853982,7.890927,7.892768,0.005846,7.558589,-0.112085,0.322042
1.100619,0.07,7.853982,7.892768,7.893353,-0.005861,7.551532,-0.118225,0.329932
1.098806,0.07,7.853982,7.893353,7.892767,-0.016606,7.543743,-0.120527,0.33771
1.097292,0.07,7.853982,7.892767,7.891106,-0.026262,7.5355,-0.119235,0.345158
1.096106,0.07,7.853982,7.891106,7.88848,-0.034683,7.527072,-0.114622,0.352077
1.095269,0.07,7.853982,7.88848,7.885012,-0.041709,7.518716,-0.107003,0.358287
1.094797,0.07,7.853982,7.885012,7.880841,-0.047185,7.510674,-0.096735,0.363639
1.094698,0.07,7.853982,7.880841,7.876122,-0.050974,7.503165,-0.084228,0.368015
1.094962,0.07,7.853982,7.876122,7.871025,-0.05298,7.496382,-0.069946,0.371335
1.095568,0.07,7.853982,7.871025,7.865727,-0.053165,7.490488,-0.054402,0.373559
1.096484,0.07,7.853982,7.865727,7.86041,-0.051555,7.485608,-0.03814,0.374688
1.09766,0.07,7.853982,7.86041,7.855255,-0.048258,7.481833,-0.021728,0.374765
1.099039,0.07,7.853982,7.855255,7.850429,-0.043455,7.479207,-0.005728,0.373865
1.100557,0.07,7.853982,7.850429,7.846084,-0.037398,7.477738,0.00932,0.372097
1.10215,0.07,7.853982,7.846084,7.842344,-0.030384,7.47739,0.022942,0.369595
1.103748,0.07,7.853982,7.842344,7.839305,-0.022755,7.478093,0.034729,0.366508
1.105292,0.07,7.853982,7.839305,7.83703,-0.014865,7.479741,0.04437,0.362996
1.106725,0.07,7.853982,7.83703,7.835543,-0.007056,7.482203,0.051662,0.359222
1.108002,0.07,7.853982,7.835543,7.834838,0.000355,7.485326,0.056511,0.355343
1.109088,0.07,7.853982,7.834838,7.834873,0.007096,7.488946,0.058933,0.351506
1.10996,0.07,7.853982,7.834873,7.835583,0.012954,7.492891,0.059044,0.347844
1.110604,0.07,7.853982,7.835583,7.836878,0.017779,7.496994,0.057047,0.344469
1.111021,0.07,7.853982,7.836878,7.838656,0.021487,7.501094,0.053212,0.341471
1.11122,0.07,7.853982,7.838656,7.840805,0.024054,7.505046,0.047858,0.338918
1.111215,0.07,7.853982,7.840805,7.84321,0.02551,7.508725,0.04133,0.336857
1.11103,0.07,7.853982,7.84321,7.845761,0.025927,7.512028,0.033981,0.335311
1.110691,0.07,7.853982,7.845761,7.848354,0.025412,7.514874,0.026155,0.334283
1.110226,0.07,7.853982,7.848354,7.850895,0.02409,7.517209,0.018175,0.33376
1.109664,0.07,7.853982,7.850895,7.853304,0.022098,7.519001,0.010329,0.333712
1.109033,0.07,7.853982,7.853304,7.855514,0.019577,7.520239,0.002869,0.334098
1.10836,0.07,7.853982,7.855514,7.857472,0.016666,7.520936,-0.003997,0.334865
1.107672,0.07,7.853982,7.857472,7.859138,0.013498,7.521116,-0.010101,0.335955
1.106992,0.07,7.853982,7.859138,7.860488,0.010198,7.520822,-0.015319,0.337305
1.106332,0.07,7.853982,7.860488,7.861508,0.006861,7.520106,-0.019585,0.338849
1.105724,0.07,7.853982,7.861508,7.862194,0.00361,7.519029,-0.022832,0.34052
1.105174,0.07,7.853982,7.862194,7.862555,0.000528,7.517657,-0.025054,0.342253
1.104694,0.07,7.853982,7.862555,7.862608,-0.002314,7.516061,-0.026277,0.343989
1.104295,0.07,7.853982,7.862608,7.862376,-0.00485,7.514312,-0.026548,0.345669
1.103983,0.07,7.853982,7.862376,7.861891,-0.007026,7.512479,-0.025936,0.347245
1.103761,0.07,7.853982,7.861891,7.861189,-0.008804,7.510628,-0.024532,0.348672
1.103629,0.07,7.853982,7.861189,7.860308,-0.010158,7.508822,-0.022446,0.349916
1.103585,0.07,7.853982,7.860308,7.859293,-0.011076,7.507115,-0.019797,0.350951
1.103627,0.07,7.853982,7.859293,7.858185,-0.011556,7.505555,-0.01671,0.35176
1.103739,0.07,7.853982,7.858185,7.857029,-0.011623,7.504182,-0.013331,0.352334
1.103916,0.07,7.853982,7.857029,7.855867,-0.011303,7.503025,-0.009791,0.352673
1.104154,0.07,7.853982,7.855867,7.854737,-0.010624,7.502104,-0.006208,0.352784
1.104433,0.07,7.853982,7.854737,7.853674,-0.009638,7.501431,-0.002709,0.352684
1.10474,0.07,7.853982,7.853674,7.852711,-0.008408,7.501009,0.000591,0.352393
1.105064,0.07,7.853982,7.852711,7.85187,-0.006992,7.50083,0.003598,0.351937
1.105393,0.07,7.853982,7.85187,7.851171,-0.005454,7.500881,0.006234,0.351346
1.105715,0.07,7.853982,7.851171,7.850625,-0.003857,7.50114,0.008438,0.35065
1.106019,0.07,7.853982,7.850625,7.85024,-0.002261,7.501582,0.010172,0.349883
1.106296,0.07,7.853982,7.85024,7.850013,-0.000723,7.502176,0.011415,0.349077
